,year,location,surveyed,in_data,redd_observed,survey_week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2014,gateway,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2014,greatwestern,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2014,lowerrobinson,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2014,mathews,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2014,steep,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2014,steepsidechannel,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2014,trailerpark,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2014,uppermathews,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2014,upperrobinson,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2014,vancewest,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2014,weir,FALSE,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
